exps,dataSets,attacks,budgets(%),metrics,result
1,Cora,nodeembeddingattack,20,edge_homophily,0.830452285
1,Cora,nodeembeddingattack,20,node_homophily,0.832671126
1,Cora,nodeembeddingattack,20,class_homophily,0.791709893
1,Cora,nodeembeddingattack,20,adjusted_homophily,0.713208981
1,Cora,nodeembeddingattack,20,balanced_homophily,0.375025936
1,Cora,pgd,1,edge_homophily,0.80509434
1,Cora,pgd,1,node_homophily,0.819895795
1,Cora,pgd,1,class_homophily,0.760660229
1,Cora,pgd,1,adjusted_homophily,0.441761583
1,Cora,pgd,1,balanced_homophily,0.356396138
1,Cora,pgd,5,edge_homophily,0.778409091
1,Cora,pgd,5,node_homophily,0.79767679
1,Cora,pgd,5,class_homophily,0.730035021
1,Cora,pgd,5,adjusted_homophily,0.285061567
1,Cora,pgd,5,balanced_homophily,0.338021013
1,Cora,pgd,10,edge_homophily,0.753090844
1,Cora,pgd,10,node_homophily,0.773955927
1,Cora,pgd,10,class_homophily,0.696725438
1,Cora,pgd,10,adjusted_homophily,0.132245919
1,Cora,pgd,10,balanced_homophily,0.318035263
1,Cora,pgd,15,edge_homophily,0.72521495
1,Cora,pgd,15,node_homophily,0.750338708
1,Cora,pgd,15,class_homophily,0.664545796
1,Cora,pgd,15,adjusted_homophily,-0.055414814
1,Cora,pgd,15,balanced_homophily,0.298727478
1,Cora,pgd,20,edge_homophily,0.701418561
1,Cora,pgd,20,node_homophily,0.726510553
1,Cora,pgd,20,class_homophily,0.629786166
1,Cora,pgd,20,adjusted_homophily,-0.286801573
1,Cora,pgd,20,balanced_homophily,0.2778717
1,Cora,random,1,edge_homophily,0.803939962
1,Cora,random,1,node_homophily,0.818712126
1,Cora,random,1,class_homophily,0.758128666
1,Cora,random,1,adjusted_homophily,0.426555885
1,Cora,random,1,balanced_homophily,0.354877199
1,Cora,random,5,edge_homophily,0.782530229
1,Cora,random,5,node_homophily,0.794463592
1,Cora,random,5,class_homophily,0.734035205
1,Cora,random,5,adjusted_homophily,0.242862329
1,Cora,random,5,balanced_homophily,0.340421123
1,Cora,random,10,edge_homophily,0.753488372
1,Cora,random,10,node_homophily,0.761372907
1,Cora,random,10,class_homophily,0.697789865
1,Cora,random,10,adjusted_homophily,-0.148929852
1,Cora,random,10,balanced_homophily,0.318673919
1,Cora,random,15,edge_homophily,0.726643599
1,Cora,random,15,node_homophily,0.736041075
1,Cora,random,15,class_homophily,0.667361005
1,Cora,random,15,adjusted_homophily,-0.931552051
1,Cora,random,15,balanced_homophily,0.300416603
1,Cora,random,20,edge_homophily,0.704721301
1,Cora,random,20,node_homophily,0.704531114
1,Cora,random,20,class_homophily,0.639775577
1,Cora,random,20,adjusted_homophily,-3.38698072
1,Cora,random,20,balanced_homophily,0.283865346
1,CiteSeer,CLGA,1,edge_homophily,0.540622958
1,CiteSeer,CLGA,1,node_homophily,0.512680526
1,CiteSeer,CLGA,1,class_homophily,0.530964567
1,CiteSeer,CLGA,1,adjusted_homophily,0.381711071
1,CiteSeer,CLGA,1,balanced_homophily,0.183596167
1,CiteSeer,CLGA,5,edge_homophily,0.531282916
1,CiteSeer,CLGA,5,node_homophily,0.505033713
1,CiteSeer,CLGA,5,class_homophily,0.517672898
1,CiteSeer,CLGA,5,adjusted_homophily,0.35649237
1,CiteSeer,CLGA,5,balanced_homophily,0.175288874
1,CiteSeer,CLGA,10,edge_homophily,0.518736075
1,CiteSeer,CLGA,10,node_homophily,0.494237926
1,CiteSeer,CLGA,10,class_homophily,0.502468957
1,CiteSeer,CLGA,10,adjusted_homophily,0.320214539
1,CiteSeer,CLGA,10,balanced_homophily,0.16578641
1,CiteSeer,CLGA,15,edge_homophily,0.504481684
1,CiteSeer,CLGA,15,node_homophily,0.482941294
1,CiteSeer,CLGA,15,class_homophily,0.483389414
1,CiteSeer,CLGA,15,adjusted_homophily,0.277253261
1,CiteSeer,CLGA,15,balanced_homophily,0.153861696
